time,oscillator_id,send_count,transmission_end_time,transmission_time_ms
68.0,2,1,88.544,20.544
295.0,17,1,315.544,20.544
377.0,27,1,397.544,20.544
495.0,13,1,515.544,20.544
673.0,32,1,693.544,20.544
775.0,4,1,795.544,20.544
811.1194438725688,9,1,831.6634438725688,20.544
844.0,11,1,864.544,20.544
929.0,26,1,949.544,20.544
1414.0,8,1,1434.544,20.544
1487.0,48,1,1507.544,20.544
1566.0,41,1,1586.544,20.544
1595.0,19,1,1615.544,20.544
1695.0,38,1,1715.544,20.544
1800.0,34,1,1820.544,20.544
1827.0,40,1,1847.544,20.544
1869.0,44,1,1889.544,20.544
1904.0,24,1,1924.544,20.544
1950.1029507101546,31,1,1970.6469507101547,20.544
2048.0,1,1,2068.544,20.544
2075.709777951008,22,1,2096.253777951008,20.544
2167.0,14,1,2187.544,20.544
2193.0,28,1,2213.544,20.544
2344.0,5,1,2364.544,20.544
2372.0,12,1,2392.544,20.544
2408.05173092604,7,1,2428.59573092604,20.544
2446.0,46,1,2466.544,20.544
2526.0,3,1,2546.544,20.544
3035.0,43,1,3055.544,20.544
3064.6940959633603,18,1,3085.23809596336,20.544
3101.7915268440793,37,1,3122.335526844079,20.544
3146.7635238292232,35,1,3167.307523829223,20.544
3543.0,21,1,3563.544,20.544
3619.0,47,1,3639.544,20.544
3793.0,33,1,3813.544,20.544
3957.0,16,1,3977.544,20.544
4128.0,20,1,4148.544,20.544
4224.0,39,1,4244.544,20.544
4270.0,42,1,4290.544,20.544
4572.0,6,1,4592.544,20.544
4668.0,45,1,4688.544,20.544
4763.0,36,1,4783.544,20.544
4793.0,0,1,4813.544,20.544
4819.0,49,1,4839.544,20.544
4958.0,10,1,4978.544,20.544
4986.363878216463,25,1,5006.907878216462,20.544
5026.345643977535,30,1,5046.889643977534,20.544
5068.0,2,2,5088.544,20.544
5295.0,17,2,5315.544,20.544
5377.0,27,2,5397.544,20.544
5495.0,13,2,5515.544,20.544
5673.0,32,2,5693.544,20.544
5775.0,4,2,5795.544,20.544
5810.470180332696,9,2,5831.014180332696,20.544
5844.0,11,2,5864.544,20.544
5929.0,26,2,5949.544,20.544
6414.0,8,2,6434.544,20.544
6487.0,48,2,6507.544,20.544
6566.0,41,2,6586.544,20.544
6595.0,19,2,6615.544,20.544
6695.0,38,2,6715.544,20.544
6800.0,34,2,6820.544,20.544
6827.0,40,2,6847.544,20.544
6869.0,44,2,6889.544,20.544
6904.0,24,2,6924.544,20.544
6930.206202762696,31,2,6950.750202762696,20.544
7048.0,1,2,7068.544,20.544
7077.945722010111,22,2,7098.489722010111,20.544
7167.0,14,2,7187.544,20.544
7193.0,28,2,7213.544,20.544
7344.0,5,2,7364.544,20.544
7372.0,12,2,7392.544,20.544
7402.522155818229,7,2,7423.066155818229,20.544
7446.0,46,2,7466.544,20.544
7526.0,3,2,7546.544,20.544
8035.0,43,2,8055.544,20.544
8066.998079034198,29,1,8087.542079034198,20.544
8095.511578347932,18,2,8116.055578347932,20.544
8124.744690251068,35,2,8145.288690251068,20.544
8543.0,21,2,8563.544,20.544
8619.0,47,2,8639.544,20.544
8793.0,33,2,8813.544,20.544
8957.0,16,2,8977.544,20.544
9128.0,20,2,9148.544,20.544
9224.0,39,2,9244.544,20.544
9270.0,42,2,9290.544,20.544
9572.0,6,2,9592.544,20.544
9668.0,45,2,9688.544,20.544
9763.0,36,2,9783.544,20.544
9793.0,0,2,9813.544,20.544
9819.0,49,2,9839.544,20.544
9855.80615412381,15,1,9876.35015412381,20.544
9958.0,10,2,9978.544,20.544
9988.0,30,2,10008.544,20.544
10068.0,2,3,10088.544,20.544
10295.0,17,3,10315.544,20.544
10377.0,27,3,10397.544,20.544
10495.0,13,3,10515.544,20.544
10673.0,32,3,10693.544,20.544
10775.0,4,3,10795.544,20.544
10810.891120945507,9,3,10831.435120945507,20.544
10844.0,11,3,10864.544,20.544
10929.0,26,3,10949.544,20.544
11414.0,8,3,11434.544,20.544
11487.0,48,3,11507.544,20.544
11566.0,41,3,11586.544,20.544
11595.0,19,3,11615.544,20.544
