time,oscillator_id,action,carrier_sense_start,carrier_sense_end,blocking_oscillator_id,blocking_transmission_start,blocking_transmission_end
251.0,7,send_clear,246.0,251.0,,,
668.0,2,send_clear,663.0,668.0,,,
831.0,5,send_clear,826.0,831.0,,,
990.0,9,send_clear,985.0,990.0,,,
1349.0,1,send_clear,1344.0,1349.0,,,
1486.0,18,send_clear,1481.0,1486.0,,,
1504.0,13,skip_busy_exhausted,1499.0,1504.0,18,1486.0,1506.544
1809.0,11,send_clear,1804.0,1809.0,,,
1913.0,4,send_clear,1908.0,1913.0,,,
1935.0,16,skip_busy_exhausted,1930.0,1935.0,4,1913.0,1933.544
2311.0,0,send_clear,2306.0,2311.0,,,
2587.0,12,send_clear,2582.0,2587.0,,,
2678.0,3,send_clear,2673.0,2678.0,,,
2943.0,6,send_clear,2938.0,2943.0,,,
3091.0,15,send_clear,3086.0,3091.0,,,
4270.0,8,send_clear,4265.0,4270.0,,,
4292.0,17,skip_busy_exhausted,4287.0,4292.0,8,4270.0,4290.544
4536.0,10,send_clear,4531.0,4536.0,,,
4545.0,14,skip_busy_exhausted,4540.0,4545.0,10,4536.0,4556.544
4670.0,19,send_clear,4665.0,4670.0,,,
5251.0,7,send_clear,5246.0,5251.0,,,
5668.0,2,send_clear,5663.0,5668.0,,,
5831.0,5,send_clear,5826.0,5831.0,,,
5990.0,9,send_clear,5985.0,5990.0,,,
6349.0,1,send_clear,6344.0,6349.0,,,
6486.0,18,send_clear,6481.0,6486.0,,,
6504.0,13,skip_busy_exhausted,6499.0,6504.0,18,6486.0,6506.544
6809.0,11,send_clear,6804.0,6809.0,,,
6913.0,4,send_clear,6908.0,6913.0,,,
6935.0,16,skip_busy_exhausted,6930.0,6935.0,4,6913.0,6933.544
7311.0,0,send_clear,7306.0,7311.0,,,
7587.0,12,send_clear,7582.0,7587.0,,,
7678.0,3,send_clear,7673.0,7678.0,,,
7943.0,6,send_clear,7938.0,7943.0,,,
8091.0,15,send_clear,8086.0,8091.0,,,
9270.0,8,send_clear,9265.0,9270.0,,,
9292.0,17,skip_busy_exhausted,9287.0,9292.0,8,9270.0,9290.544
9536.0,10,send_clear,9531.0,9536.0,,,
9545.0,14,skip_busy_exhausted,9540.0,9545.0,10,9536.0,9556.544
9670.0,19,send_clear,9665.0,9670.0,,,
10251.0,7,send_clear,10246.0,10251.0,,,
10668.0,2,send_clear,10663.0,10668.0,,,
10831.0,5,send_clear,10826.0,10831.0,,,
10990.0,9,send_clear,10985.0,10990.0,,,
11349.0,1,send_clear,11344.0,11349.0,,,
11486.0,18,send_clear,11481.0,11486.0,,,
11504.0,13,skip_busy_exhausted,11499.0,11504.0,18,11486.0,11506.544
11809.0,11,send_clear,11804.0,11809.0,,,
11913.0,4,send_clear,11908.0,11913.0,,,
11935.0,16,skip_busy_exhausted,11930.0,11935.0,4,11913.0,11933.544
12311.0,0,send_clear,12306.0,12311.0,,,
12587.0,12,send_clear,12582.0,12587.0,,,
12678.0,3,send_clear,12673.0,12678.0,,,
12943.0,6,send_clear,12938.0,12943.0,,,
13091.0,15,send_clear,13086.0,13091.0,,,
14270.0,8,send_clear,14265.0,14270.0,,,
14292.0,17,skip_busy_exhausted,14287.0,14292.0,8,14270.0,14290.544
14536.0,10,send_clear,14531.0,14536.0,,,
14545.0,14,skip_busy_exhausted,14540.0,14545.0,10,14536.0,14556.544
14670.0,19,send_clear,14665.0,14670.0,,,
15251.0,7,send_clear,15246.0,15251.0,,,
15668.0,2,send_clear,15663.0,15668.0,,,
15831.0,5,send_clear,15826.0,15831.0,,,
15990.0,9,send_clear,15985.0,15990.0,,,
16349.0,1,send_clear,16344.0,16349.0,,,
16486.0,18,send_clear,16481.0,16486.0,,,
16504.0,13,skip_busy_exhausted,16499.0,16504.0,18,16486.0,16506.544
16809.0,11,send_clear,16804.0,16809.0,,,
16913.0,4,send_clear,16908.0,16913.0,,,
16935.0,16,skip_busy_exhausted,16930.0,16935.0,4,16913.0,16933.544
